Year,Philippines,United States
2000,4.38250500083399,4.07758575682804
2001,3.04923134463486,0.955538348341605
2002,3.71625500158383,1.70044732643726
2003,5.08691113513073,2.79560596320081
2004,6.56922851180626,3.84777169556921
2005,4.94250511877678,3.48354993555606
2006,5.31641682136939,2.78453963650701
2007,6.51929155018938,2.00385829784946
2008,4.34448730509183,0.113587249881704
2009,1.44832306275669,-2.57650022958367
2010,7.33449996034538,2.69519257744442
2011,3.85823282795663,1.56440685763506
2012,6.89695171050985,2.28911338669843
2013,6.75053130142255,2.11783009790057
2014,6.34798748260867,2.52381981363968
2015,6.34830971672761,2.94555045484053
2016,7.14945675000752,1.81945147788167
2017,6.9309883258402,2.45762229852507
2018,6.34148557153473,2.96650506901305
2019,6.11852566221303,2.58382533412825
2020,-9.51829474045297,-2.16302914036166
2021,5.71473313185116,6.05505293244555
2022,7.58098212785563,2.51237531986017
2023,5.51894967862863,2.88755600749487
2024,5.69201612823412,2.79300127716779
